Timestamp,Your Phone,Your 4 digit ID,Quantity,Location,Measurement Value (db or lux)
1/23/2020 11:28:53,iPhone (all models),5247,"Sound pressure level, SPL(dBA)",your bed at night,31.7
1/23/2020 11:29:29,iPhone (all models),5247,"Sound pressure level, SPL(dBA)",your bed at night,31.7
1/23/2020 11:29:46,iPhone (all models),5247,"Sound pressure level, SPL(dBA)",breakfast table,38
1/23/2020 13:23:39,iPhone (all models),5247,"Sound pressure level, SPL(dBA)",Starbucks at a table,69.5
1/23/2020 13:25:08,Android (all models),6046,Light Flux,your bed at night,3
1/23/2020 13:25:42,iPhone (all models),5247,"Sound pressure level, SPL(dBA)",In the car,61.8
1/23/2020 13:26:33,Android (all models),6046,Light Flux,breakfast table,328
1/23/2020 13:26:51,iPhone (all models),5247,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,59.8
1/23/2020 13:28:37,Android (all models),6046,Light Flux,Outdoors by GIX: Cloudy,2232
1/23/2020 13:30:14,Android (all models),6046,Light Flux,In the car,29
1/23/2020 14:16:43,iPhone (all models),0987,Light Flux,GIX Woodshop: No machines (SPL only),280
1/23/2020 14:16:58,iPhone (all models),0987,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",280
1/23/2020 14:17:15,iPhone (all models),0987,Light Flux,"GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",280
1/23/2020 14:17:49,iPhone (all models),0987,Light Flux,GIX Woodshop: Drill (SPL Only from omerating position),280
1/23/2020 15:07:53,iPhone (all models),0520,Light Flux,In class (on writing desk),215
1/23/2020 15:09:45,iPhone (all models),0520,Light Flux,Outdoors by GIX: Cloudy,486
1/23/2020 15:10:27,iPhone (all models),0520,Light Flux,Starbucks at a table,62
1/23/2020 15:11:07,iPhone (all models),0520,Light Flux,your bed at night,10
1/23/2020 15:12:47,iPhone (all models),0520,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",228
1/23/2020 15:13:04,Android (all models),6046,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",179
1/23/2020 15:14:05,iPhone (all models),0520,Light Flux,In the car,20
1/23/2020 15:14:50,iPhone (all models),0520,Light Flux,breakfast table,99
1/23/2020 23:02:55,iPhone (all models),9848,Light Flux,your bed at night,6
1/27/2020 5:22:34,Android (all models),6520,Light Flux,your bed at night,1
1/27/2020 5:23:07,Android (all models),6520,Light Flux,your bed at night,1
1/27/2020 5:23:31,Android (all models),6520,Light Flux,your bed at night,2
1/27/2020 5:35:13,Android (all models),6520,Light Flux,breakfast table,3
1/27/2020 5:35:28,Android (all models),6520,Light Flux,breakfast table,12
1/27/2020 5:35:45,Android (all models),6520,Light Flux,breakfast table,6520
1/27/2020 7:38:13,Android (all models),6520,Light Flux,In the car,7
1/27/2020 7:38:33,Android (all models),6520,Light Flux,In the car,6
1/27/2020 7:42:25,Android (all models),6540,Light Flux,In class (on writing desk),715
1/27/2020 7:42:41,Android (all models),6520,Light Flux,In class (on writing desk),667
1/27/2020 7:43:08,Android (all models),6520,Light Flux,In class (on writing desk),582
1/27/2020 7:48:00,Android (all models),6520,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",495
1/27/2020 7:48:21,Android (all models),6520,Light Flux,"GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",491
1/27/2020 12:14:03,Android (all models),9160,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Sunny,76
1/27/2020 12:16:00,Android (all models),9160,"Sound pressure level, SPL(dBA)",Starbucks at a table,70
1/27/2020 12:16:07,iPhone (all models),9848,Light Flux,In class (on writing desk),201
1/27/2020 12:30:18,iPhone (all models),9848,Light Flux,Outdoors by GIX: Cloudy,492
1/27/2020 20:40:14,Android (all models),8268,Light Flux,your bed at night,0.1
1/27/2020 22:33:40,iPhone (all models),9848,Light Flux,Starbucks at a table,173
1/27/2020 22:35:58,iPhone (all models),9848,Light Flux,your bed at night,1
1/27/2020 22:43:21,iPhone (all models),5247,Light Flux,Starbucks at a table,70
1/27/2020 22:44:08,iPhone (all models),5247,Light Flux,your bed at night,1
1/28/2020 6:16:43,Android (all models),6520,Light Flux,Starbucks at a table,84
1/28/2020 6:17:11,Android (all models),6520,Light Flux,Starbucks at a table,18
1/28/2020 6:17:28,Android (all models),6520,Light Flux,Starbucks at a table,19
